Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-22 10:30:00-04:00,102.5,103.1500015258789,101.99500274658203,102.13999938964844,5812,0.0,0.0
2023-09-22 11:30:00-04:00,102.1500015258789,102.1500015258789,101.68000030517578,101.68000030517578,1297,0.0,0.0
2023-09-22 12:30:00-04:00,101.83999633789062,102.16999816894531,99.60009765625,100.20999908447266,7559,0.0,0.0
2023-09-22 13:30:00-04:00,100.3499984741211,100.61499786376953,99.69000244140625,99.79000091552734,8190,0.0,0.0
2023-09-22 14:30:00-04:00,100.0093002319336,102.23999786376953,100.0,102.0999984741211,8902,0.0,0.0
2023-09-22 15:30:00-04:00,102.0,102.0,101.3949966430664,101.86499786376953,7395,0.0,0.0
2023-09-25 09:30:00-04:00,101.0,103.2249984741211,100.0199966430664,102.32499694824219,5387,0.0,0.0
2023-09-25 10:30:00-04:00,102.2300033569336,102.2300033569336,101.66000366210938,102.16000366210938,3069,0.0,0.0
2023-09-25 11:30:00-04:00,101.8499984741211,103.2699966430664,101.8499984741211,103.2699966430664,2860,0.0,0.0
2023-09-25 12:30:00-04:00,103.4000015258789,103.4000015258789,102.20999908447266,102.66999816894531,6262,0.0,0.0
2023-09-25 13:30:00-04:00,101.875,102.45999908447266,101.05500030517578,101.05500030517578,3461,0.0,0.0
2023-09-25 14:30:00-04:00,101.54000091552734,101.63999938964844,100.73999786376953,101.4000015258789,8382,0.0,0.0
2023-09-25 15:30:00-04:00,101.45500183105469,101.45500183105469,100.69000244140625,101.25,5922,0.0,0.0
2023-09-26 09:30:00-04:00,99.55999755859375,101.18000030517578,99.0,99.58000183105469,8720,0.0,0.0
2023-09-26 10:30:00-04:00,99.76499938964844,100.1500015258789,99.33999633789062,99.33999633789062,1722,0.0,0.0
2023-09-26 11:30:00-04:00,99.3499984741211,99.86000061035156,99.31999969482422,99.5,2826,0.0,0.0
2023-09-26 12:30:00-04:00,99.35009765625,99.96499633789062,98.7699966430664,98.7699966430664,6935,0.0,0.0
2023-09-26 13:30:00-04:00,98.70999908447266,99.54000091552734,98.36000061035156,98.6500015258789,3992,0.0,0.0
2023-09-26 14:30:00-04:00,98.44999694824219,99.52999877929688,98.44999694824219,99.3499984741211,6696,0.0,0.0
2023-09-26 15:30:00-04:00,98.97000122070312,99.5199966430664,98.72000122070312,99.5199966430664,6719,0.0,0.0
2023-09-27 09:30:00-04:00,100.44000244140625,101.7699966430664,99.62000274658203,101.18000030517578,4384,0.0,0.0
2023-09-27 10:30:00-04:00,100.20999908447266,101.25,99.63999938964844,100.7699966430664,7006,0.0,0.0
2023-09-27 11:30:00-04:00,100.93509674072266,100.93509674072266,99.80000305175781,100.0,6171,0.0,0.0
2023-09-27 12:30:00-04:00,99.93329620361328,100.03500366210938,97.76000213623047,97.76000213623047,4737,0.0,0.0
2023-09-27 13:30:00-04:00,97.7249984741211,98.91200256347656,96.7699966430664,97.91999816894531,9630,0.0,0.0
2023-09-27 14:30:00-04:00,98.61000061035156,100.6500015258789,98.44000244140625,99.52999877929688,3248,0.0,0.0
2023-09-27 15:30:00-04:00,100.2750015258789,100.2750015258789,99.36000061035156,99.44000244140625,4400,0.0,0.0
2023-09-28 09:30:00-04:00,99.5199966430664,102.05000305175781,99.5199966430664,101.33000183105469,3103,0.0,0.0
2023-09-28 10:30:00-04:00,100.79000091552734,104.57340240478516,100.79000091552734,103.33000183105469,6470,0.0,0.0
2023-09-28 11:30:00-04:00,103.30000305175781,104.72000122070312,102.7300033569336,103.55999755859375,3235,0.0,0.0
2023-09-28 12:30:00-04:00,103.55999755859375,103.58999633789062,102.75,102.94000244140625,6641,0.0,0.0
2023-09-28 13:30:00-04:00,102.83000183105469,103.19999694824219,102.69000244140625,102.93000030517578,4343,0.0,0.0
2023-09-28 14:30:00-04:00,103.55000305175781,104.00499725341797,103.55000305175781,103.8499984741211,4150,0.0,0.0
2023-09-28 15:30:00-04:00,103.66999816894531,103.7750015258789,103.30000305175781,103.7300033569336,7233,0.0,0.0
2023-09-29 09:30:00-04:00,104.69999694824219,104.81999969482422,103.0,103.0,1640,0.0,0.0
2023-09-29 10:30:00-04:00,103.27999877929688,103.79000091552734,102.75,103.0,7892,0.0,0.0
2023-09-29 11:30:00-04:00,101.94999694824219,102.47000122070312,101.04010009765625,101.04010009765625,1026,0.0,0.0
2023-09-29 12:30:00-04:00,101.12999725341797,102.125,100.66999816894531,101.2699966430664,4682,0.0,0.0
2023-09-29 13:30:00-04:00,100.4749984741211,101.16999816894531,100.44000244140625,101.16999816894531,1527,0.0,0.0
2023-09-29 14:30:00-04:00,100.79000091552734,101.73999786376953,100.79000091552734,101.54499816894531,3483,0.0,0.0
2023-09-29 15:30:00-04:00,101.16000366210938,101.83999633789062,100.81999969482422,101.5999984741211,9337,0.0,0.0
2023-10-02 09:30:00-04:00,102.16999816894531,104.2699966430664,102.16999816894531,104.00499725341797,9500,0.0,0.0
2023-10-02 10:30:00-04:00,104.0,105.66999816894531,104.0,105.66999816894531,3909,0.0,0.0
2023-10-02 11:30:00-04:00,105.12000274658203,105.12000274658203,103.21499633789062,103.41000366210938,3507,0.0,0.0
2023-10-02 12:30:00-04:00,103.55000305175781,103.55000305175781,102.55999755859375,102.83499908447266,3300,0.0,0.0
2023-10-02 13:30:00-04:00,103.22000122070312,103.69000244140625,102.79000091552734,102.79000091552734,2678,0.0,0.0
2023-10-02 14:30:00-04:00,102.42500305175781,102.5,101.98999786376953,102.5,5544,0.0,0.0
2023-10-02 15:30:00-04:00,102.0199966430664,102.1500015258789,101.40499877929688,102.1500015258789,12616,0.0,0.0
2023-10-03 09:30:00-04:00,99.63999938964844,99.63999938964844,92.0,93.0999984741211,25452,0.0,0.0
2023-10-03 10:30:00-04:00,93.0999984741211,93.73999786376953,92.0199966430664,92.19000244140625,27364,0.0,0.0
2023-10-03 11:30:00-04:00,92.0999984741211,92.30999755859375,91.5,91.93000030517578,4398,0.0,0.0
2023-10-03 12:30:00-04:00,91.91999816894531,92.13999938964844,90.4800033569336,90.4800033569336,18775,0.0,0.0
2023-10-03 13:30:00-04:00,90.2699966430664,90.68990325927734,89.5199966430664,89.5199966430664,8205,0.0,0.0
2023-10-03 14:30:00-04:00,89.33999633789062,90.30999755859375,89.0,89.91000366210938,8014,0.0,0.0
2023-10-03 15:30:00-04:00,89.52999877929688,90.25,89.52999877929688,89.80000305175781,13532,0.0,0.0
2023-10-04 09:30:00-04:00,91.3499984741211,91.69999694824219,90.30500030517578,90.5999984741211,4534,0.0,0.0
2023-10-04 10:30:00-04:00,90.5999984741211,91.23999786376953,90.33999633789062,91.23999786376953,3966,0.0,0.0
2023-10-04 11:30:00-04:00,91.41069793701172,92.45989990234375,91.18119812011719,92.45989990234375,2734,0.0,0.0
2023-10-04 12:30:00-04:00,91.98999786376953,92.16000366210938,91.19999694824219,91.19999694824219,1255,0.0,0.0
2023-10-04 13:30:00-04:00,91.30000305175781,91.75,91.0,91.2510986328125,3799,0.0,0.0
2023-10-04 14:30:00-04:00,90.51010131835938,91.83000183105469,90.51010131835938,91.04010009765625,2796,0.0,0.0
2023-10-04 15:30:00-04:00,91.43000030517578,92.37999725341797,91.04010009765625,91.41999816894531,8127,0.0,0.0
2023-10-05 09:30:00-04:00,90.97000122070312,91.43000030517578,89.7750015258789,89.7750015258789,1342,0.0,0.0
