Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-08-02 00:00:00-04:00,7.849999904632568,8.140999794006348,7.769999980926514,7.78000020980835,45300,0.0,0.0
2019-08-05 00:00:00-04:00,7.769999980926514,8.48799991607666,7.75,8.050000190734863,84200,0.0,0.0
2019-08-06 00:00:00-04:00,8.0600004196167,10.75,8.0600004196167,10.260000228881836,307500,0.0,0.0
2019-08-07 00:00:00-04:00,10.260000228881836,10.300000190734863,9.5,10.0,157300,0.0,0.0
2019-08-08 00:00:00-04:00,10.25,10.270000457763672,8.730999946594238,9.270000457763672,105600,0.0,0.0
2019-08-09 00:00:00-04:00,9.270000457763672,12.199999809265137,9.270000457763672,11.3149995803833,196100,0.0,0.0
2019-08-12 00:00:00-04:00,11.699999809265137,12.4399995803833,11.09000015258789,11.739999771118164,221300,0.0,0.0
2019-08-13 00:00:00-04:00,11.5,11.75,10.649999618530273,10.989999771118164,113000,0.0,0.0
2019-08-14 00:00:00-04:00,10.800000190734863,10.850000381469727,10.210000038146973,10.350000381469727,84900,0.0,0.0
2019-08-15 00:00:00-04:00,10.3100004196167,10.930000305175781,9.8100004196167,10.199999809265137,44300,0.0,0.0
2019-08-16 00:00:00-04:00,10.15999984741211,10.977999687194824,9.92300033569336,10.630000114440918,89100,0.0,0.0
2019-08-19 00:00:00-04:00,10.6899995803833,11.899999618530273,10.6899995803833,11.899999618530273,95200,0.0,0.0
2019-08-20 00:00:00-04:00,11.890000343322754,11.90999984741211,11.319999694824219,11.899999618530273,106000,0.0,0.0
2019-08-21 00:00:00-04:00,12.0,12.279999732971191,11.460000038146973,11.979999542236328,119000,0.0,0.0
2019-08-22 00:00:00-04:00,12.0,12.8100004196167,11.899999618530273,12.8100004196167,91600,0.0,0.0
2019-08-23 00:00:00-04:00,12.8100004196167,12.880000114440918,12.15999984741211,12.670000076293945,106000,0.0,0.0
2019-08-26 00:00:00-04:00,12.850000381469727,12.850000381469727,11.720999717712402,11.9399995803833,83600,0.0,0.0
2019-08-27 00:00:00-04:00,11.670000076293945,12.399999618530273,11.529999732971191,12.380000114440918,148100,0.0,0.0
2019-08-28 00:00:00-04:00,12.260000228881836,12.631999969482422,11.930000305175781,12.1899995803833,82000,0.0,0.0
2019-08-29 00:00:00-04:00,12.40999984741211,12.40999984741211,11.800000190734863,12.119999885559082,23700,0.0,0.0
2019-08-30 00:00:00-04:00,11.84000015258789,11.930000305175781,10.859999656677246,11.40999984741211,155600,0.0,0.0
2019-09-03 00:00:00-04:00,11.25,11.350000381469727,10.609999656677246,11.239999771118164,132000,0.0,0.0
2019-09-04 00:00:00-04:00,11.180000305175781,11.739999771118164,10.65999984741211,11.40999984741211,89100,0.0,0.0
2019-09-05 00:00:00-04:00,11.34000015258789,12.180000305175781,11.34000015258789,11.979999542236328,97500,0.0,0.0
2019-09-06 00:00:00-04:00,11.989999771118164,12.470000267028809,11.899999618530273,12.050000190734863,83300,0.0,0.0
2019-09-09 00:00:00-04:00,12.0,12.475000381469727,11.539999961853027,11.6899995803833,219000,0.0,0.0
2019-09-10 00:00:00-04:00,11.670000076293945,12.010000228881836,11.5,11.699999809265137,38000,0.0,0.0
2019-09-11 00:00:00-04:00,11.819999694824219,12.390000343322754,11.420000076293945,11.600000381469727,86600,0.0,0.0
2019-09-12 00:00:00-04:00,11.619999885559082,11.788999557495117,11.0,11.430000305175781,98000,0.0,0.0
2019-09-13 00:00:00-04:00,11.34000015258789,11.420000076293945,10.9399995803833,11.229999542236328,60400,0.0,0.0
2019-09-16 00:00:00-04:00,10.970000267028809,11.454999923706055,10.970000267028809,11.329999923706055,65800,0.0,0.0
2019-09-17 00:00:00-04:00,11.239999771118164,11.380000114440918,10.843999862670898,11.119999885559082,43900,0.0,0.0
2019-09-18 00:00:00-04:00,11.260000228881836,11.260000228881836,10.84000015258789,11.050000190734863,74000,0.0,0.0
2019-09-19 00:00:00-04:00,11.199999809265137,11.199999809265137,10.819999694824219,11.050000190734863,76900,0.0,0.0
2019-09-20 00:00:00-04:00,11.050000190734863,11.649999618530273,10.930000305175781,11.15999984741211,180100,0.0,0.0
2019-09-23 00:00:00-04:00,11.15999984741211,11.59000015258789,10.800000190734863,11.0,174600,0.0,0.0
2019-09-24 00:00:00-04:00,11.010000228881836,11.170000076293945,10.75100040435791,11.010000228881836,146800,0.0,0.0
2019-09-25 00:00:00-04:00,10.949999809265137,11.130000114440918,10.949999809265137,10.989999771118164,185800,0.0,0.0
2019-09-26 00:00:00-04:00,10.979999542236328,11.300000190734863,10.899999618530273,11.050000190734863,272900,0.0,0.0
2019-09-27 00:00:00-04:00,11.0,11.0,10.020000457763672,10.229999542236328,82400,0.0,0.0
